Thumbnail,Track Name,Author Time,Top Time,10k Time,Top Time % Difference,10k Time % Difference,Top Time Difference,10k Time Difference,Completed
https://prod.trackmania.core.nadeo.online/storageObjects/a41a7a8c-ee0b-49a9-b7cb-5f45b75189a1.jpg,Summer 2022 - 3,19.915,18.717,19.504,2.06,6.02,0.4109999999999978,1.1980000000000004,False
https://prod.trackmania.core.nadeo.online/storageObjects/119a5033-6229-4cd8-beea-7483eb53fa27.jpg,Summer 2022 - 4,22.008,20.627,21.088,4.18,6.27,0.9199999999999982,1.3810000000000002,False
https://prod.trackmania.core.nadeo.online/storageObjects/b9ab4b1c-ce39-4e65-ac9c-4a1445cb5c13.jpg,Summer 2022 - 5,28.505,26.458,27.4,3.88,7.18,1.1050000000000004,2.0470000000000006,False
https://prod.trackmania.core.nadeo.online/storageObjects/00bf0240-d3ba-48bc-a9b7-1d9a5a88f576.jpg,Summer 2022 - 6,35.598,33.14,34.643,2.68,6.9,0.9549999999999983,2.4579999999999984,False
https://prod.trackmania.core.nadeo.online/storageObjects/7810b0b2-f545-4bf8-b125-5e0589e311e8.jpg,Summer 2022 - 7,26.314,23.237,24.211,7.99,11.69,2.1030000000000015,3.0770000000000017,False
https://prod.trackmania.core.nadeo.online/storageObjects/c555955e-0f50-4f8c-8e23-a40d90608e92.jpg,Summer 2022 - 8,19.536,15.197,16.408,16.01,22.21,3.128,4.339000000000002,False
https://prod.trackmania.core.nadeo.online/storageObjects/011cc397-60c8-45d0-9b13-2ed4b5161edd.jpg,Summer 2022 - 9,36.402,33.666,35.19,3.33,7.52,1.2120000000000033,2.736000000000004,False
https://prod.trackmania.core.nadeo.online/storageObjects/6653d259-3ef7-47c2-9db9-616db0637aea.jpg,Summer 2022 - 10,30.957,29.325,30.353,1.95,5.27,0.6039999999999992,1.6320000000000014,False
https://prod.trackmania.core.nadeo.online/storageObjects/64e8163b-ee7f-4200-9ef5-d7c73c4b5542.jpg,Summer 2022 - 11,33.958,31.757,33.458,1.47,6.48,0.5,2.200999999999997,False
https://prod.trackmania.core.nadeo.online/storageObjects/b2941653-d528-47a6-a019-c8ec9affb3f0.jpg,Summer 2022 - 12,37.845,35.636,37.388,1.21,5.84,0.45700000000000074,2.208999999999996,False
https://prod.trackmania.core.nadeo.online/storageObjects/341deadc-4c5a-4923-804f-da5b04cdf6a4.jpg,Summer 2022 - 13,40.196,35.246,39.315,2.19,12.31,0.8810000000000002,4.949999999999996,False
https://prod.trackmania.core.nadeo.online/storageObjects/babc1e7d-bc52-48de-8797-d286deb6bd1e.jpg,Summer 2022 - 14,38.97,32.89,37.752,3.13,15.6,1.2179999999999964,6.079999999999998,False
https://prod.trackmania.core.nadeo.online/storageObjects/c18e4be4-b5e9-4490-9a51-4f3114ae1fff.jpg,Summer 2022 - 15,38.863,35.998,38.078,2.02,7.37,0.7849999999999966,2.865000000000002,False
https://prod.trackmania.core.nadeo.online/storageObjects/a0d9c540-c07b-49f2-94b1-7015ab1a2258.jpg,Summer 2022 - 16,49.644,45.725,48.677,1.95,7.89,0.9669999999999987,3.918999999999997,False
https://prod.trackmania.core.nadeo.online/storageObjects/5cd0fc12-59ed-41d0-ae65-5357ce05a436.jpg,Summer 2022 - 17,42.651,40.062,42.312,0.79,6.07,0.33900000000000574,2.5890000000000057,False
https://prod.trackmania.core.nadeo.online/storageObjects/21405590-cff4-46c4-b954-f098b4d2b2ed.jpg,Summer 2022 - 18,51.878,42.318,48.495,6.52,18.43,3.3830000000000027,9.560000000000002,False
https://prod.trackmania.core.nadeo.online/storageObjects/fc37244d-e2b4-4a05-94bb-d75e8b606318.jpg,Summer 2022 - 19,44.892,38.342,43.647,2.77,14.59,1.2450000000000045,6.550000000000004,False
https://prod.trackmania.core.nadeo.online/storageObjects/a86c57b1-e1e1-4acc-b61a-a54a6d41f515.jpg,Summer 2022 - 20,42.999,37.376,42.47,1.23,13.08,0.5290000000000035,5.623000000000005,False
https://prod.trackmania.core.nadeo.online/storageObjects/d4d30e64-85f3-4867-994b-d436f469bdd6.jpg,Summer 2022 - 21,58.697,54.975,58.648,0.08,6.34,0.04899999999999949,3.7220000000000013,False
https://prod.trackmania.core.nadeo.online/storageObjects/feac3f2b-843f-478f-964f-48b77475acc8.jpg,Summer 2022 - 22,61.782,55.838,61.585,0.32,9.62,0.19699999999999562,5.9439999999999955,False
